iter	Passed	Remaining
0	0	35
1	0	34
2	1	33
3	1	32
4	1	32
5	2	32
6	2	32
7	2	32
8	3	32
9	3	31
10	3	31
11	4	31
12	5	36
13	5	35
14	6	34
15	6	33
16	6	32
17	7	32
18	7	31
19	7	30
20	8	30
21	8	29
22	8	29
23	9	29
24	9	28
25	9	27
26	10	27
27	10	26
28	10	26
29	11	26
30	11	26
31	12	25
32	12	25
33	12	24
34	13	24
35	13	23
36	13	23
37	14	22
38	14	22
39	15	23
40	15	22
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	19	21
47	19	21
48	19	20
49	20	20
50	20	19
51	20	19
52	21	19
53	21	18
54	22	18
55	22	17
56	23	17
57	23	17
58	23	16
59	24	16
60	24	15
61	25	15
62	25	14
63	25	14
64	26	14
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	30	8
78	31	8
79	31	7
80	32	7
81	32	7
82	32	6
83	33	6
84	33	5
85	34	5
86	34	5
87	34	4
88	35	4
89	35	3
90	36	3
91	37	3
92	37	2
93	37	2
94	38	2
95	38	1
96	38	1
97	39	0
98	39	0
99	40	0
